ct_block,timestamp,sale_start,leadin_length,start_price,end_price,region_begin,region_end,ideal_cores_sold,cores_offered
100988,1726740870,151388,100800,1000,10,287565,292605,5,5
301117,1729164444,351517,100800,5265714286000,52657142860,292605,297645,10,10
500734,1731590910,551134,100800,1511071942400,15110719424,297645,302685,10,10
700014,1734018708,750414,100800,151107194200,1511071942,302685,307725,16,16
899402,1736442846,949802,100800,15110719400,151107194,307725,312765,16,16
1099342,1738870074,1149742,100800,96125762100,961257621,312765,317805,16,16
1299374,1741297254,1349774,100800,56499633200,564996332,317805,322845,18,18
1494549,1743730176,1544949,100800,92276007600,922760076,322845,327885,18,18
1694330,1746169986,1744730,100800,922727120700,9227271207,327885,332925,20,20
1891350,1748607156,1941750,100800,9227106428200,92271064282,332925,337965,22,22
2087533,1751040072,2137933,100800,92257882714500,922578827145,337965,343005,24,24
2279944,1753471950,27137993,201600,54387669309200,543876693092,343005,348045,58,58
2464788,1755898110,27541191,201600,10000000000000,100000000000,348045,353085,65,65
2645661,1758330024,27944390,201600,10000000000000,100000000000,353085,358125,65,65
2822281,1760769510,28347591,201600,10000000000000,100000000000,358125,363165,65,65
3004776,1763200632,28750791,201600,10000000000000,100000000000,363165,368205,72,72
3188739,1765643814,29153991,201600,10000000000000,100000000000,368205,373245,72,72
3378601,1768078296,29557190,201600,10000000000000,100000000000,373245,378285,72,72
3575238,1770507342,29960391,201600,10000000000000,100000000000,378285,383325,77,77
