block_number,timestamp,backed,included,timed_out,disputes,cores_active,distinct_paras,bitfields,avg_avail
29936981,1770972888000,26,28,0,0,28,25,598,0.9994
29937581,1770976488000,33,24,0,0,24,21,598,0.9994
29938181,1770980088000,30,21,0,0,21,18,598,0.999
29938781,1770983688000,28,23,0,0,23,20,598,0.9984
29939381,1770987288000,20,24,0,0,24,24,598,0.9992
29939981,1770990888000,31,19,0,0,19,16,597,0.9977
29940581,1770994488000,31,19,0,0,19,16,598,0.9989
29941181,1770998088000,22,32,0,0,32,29,598,0.9989
29941781,1771001688000,30,21,0,0,21,18,597,0.9998
29942381,1771005288000,29,27,0,0,27,24,598,0.9999
29942981,1771008888000,22,25,0,0,25,25,598,0.9998
29943581,1771012488000,28,29,0,0,29,26,598,0.9991
29944181,1771016088000,30,22,0,0,22,19,598,0.9989
29944781,1771019688000,29,25,0,0,25,22,597,0.9998
29945381,1771023288000,24,30,0,0,30,27,597,0.9998
29945981,1771026888000,26,22,0,0,22,22,597,0.9998
29946581,1771030488000,28,25,0,0,25,22,595,0.9997
29947181,1771034088000,21,29,0,0,29,26,593,0.9997
29947781,1771037688000,26,26,0,0,26,23,593,0.9995
29948381,1771041288000,27,25,0,0,25,22,593,0.9996
29948981,1771044888000,28,27,0,0,27,24,593,0.9994
29949581,1771048488000,30,22,0,0,22,19,593,0.9995
29950181,1771052088000,24,31,0,0,31,28,593,0.9994
29950781,1771055688000,25,28,0,0,28,25,593,0.9992
